title,author,length
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
Dangerous Affair,Alice Winters,Length: 8 hrs and 43 mins
The Summer I Destroyed You,Alice Winters,Length: 8 hrs and 43 mins
Dead Serious Case #3: Mr Bruce Reyes,Alice Winters,Length: 8 hrs and 43 mins
The Love You Fight For,Alice Winters,Length: 8 hrs and 43 mins
Sunny in Vegas,Alice Winters,Length: 8 hrs and 43 mins
Drunk on You,Alice Winters,Length: 8 hrs and 43 mins
See No Evil,Alice Winters,Length: 8 hrs and 43 mins
To Catch a Firefly,Alice Winters,Length: 8 hrs and 43 mins
Lost Clause,Alice Winters,Length: 8 hrs and 43 mins
The One for Me,Alice Winters,Length: 8 hrs and 43 mins
Recon,Alice Winters,Length: 8 hrs and 43 mins
The Knight,Alice Winters,Length: 8 hrs and 43 mins
Defiance of the Fall 13,Alice Winters,Length: 8 hrs and 43 mins
Crush (Part 2 of 2) (Dramatized Adaptation),Alice Winters,Length: 8 hrs and 43 mins
Foster,Alice Winters,Length: 8 hrs and 43 mins
Eyes Tight Shut,Alice Winters,Length: 8 hrs and 43 mins
Hell for Hire,Alice Winters,Length: 8 hrs and 43 mins
He Who Fights with Monsters 11: A LitRPG Adventure,Alice Winters,Length: 8 hrs and 43 mins
Imminent,Alice Winters,Length: 8 hrs and 43 mins
Guilty Mothers,Angela Marsons,Length: 8 hrs and 31 mins
Iron Flame (Part 2 of 2) (Dramatized Adaptation),Angela Marsons,Length: 8 hrs and 31 mins
State of Suspense,Angela Marsons,Length: 8 hrs and 31 mins
The Forever Ship,Angela Marsons,Length: 8 hrs and 31 mins
The Fall of Cadia,Angela Marsons,Length: 8 hrs and 31 mins
How to Tell the Truth,Angela Marsons,Length: 8 hrs and 31 mins
The Immortal Doc Holliday: Requiem,Angela Marsons,Length: 8 hrs and 31 mins
The Case of the Airborne Invasion,Angela Marsons,Length: 8 hrs and 31 mins
Forever,Angela Marsons,Length: 8 hrs and 31 mins
An Assassination on the Agenda,Angela Marsons,Length: 8 hrs and 31 mins
Three Heads Are Better,Angela Marsons,Length: 8 hrs and 31 mins
Tango Down,Angela Marsons,Length: 8 hrs and 31 mins
The Radley House Omnibus Books 1-4,Angela Marsons,Length: 8 hrs and 31 mins
Westport,Angela Marsons,Length: 8 hrs and 31 mins
After the Tide,Angela Marsons,Length: 8 hrs and 31 mins
Big City Goth GF,Angela Marsons,Length: 8 hrs and 31 mins
The Diva Goes Overboard,Angela Marsons,Length: 8 hrs and 31 mins
Ruling Sikthand,Angela Marsons,Length: 8 hrs and 31 mins
Tom Clancy Act of Defiance,Angela Marsons,Length: 8 hrs and 31 mins
The Path of Ascension 6,Angela Marsons,Length: 8 hrs and 31 mins
Entrances and Exits,Michael Richards,Length: 14 hrs and 45 mins
Lord of the Dragon Riders,Michael Richards,Length: 14 hrs and 45 mins
Dark Wolf Unchained,Michael Richards,Length: 14 hrs and 45 mins
Dungeon Diving 201,Michael Richards,Length: 14 hrs and 45 mins
"The Hunt: The True Story of Alaska's Most Notorious Serial Killer, Robert Hansen",Michael Richards,Length: 14 hrs and 45 mins
The Bunny Blues,Michael Richards,Length: 14 hrs and 45 mins
Bonded in Death,Michael Richards,Length: 14 hrs and 45 mins
The Varlet and the Voyeur,Michael Richards,Length: 14 hrs and 45 mins
Throne World,Michael Richards,Length: 14 hrs and 45 mins
My Secret Portal to a Fantasy World: Book 2,Michael Richards,Length: 14 hrs and 45 mins
With a Grain of Salt,Michael Richards,Length: 14 hrs and 45 mins
Reborn in Flames,Michael Richards,Length: 14 hrs and 45 mins
True Crime Storytime,Michael Richards,Length: 14 hrs and 45 mins
Joyful Recollections of Trauma,Michael Richards,Length: 14 hrs and 45 mins
The Guncle Abroad,Michael Richards,Length: 14 hrs and 45 mins
Knights Apocalyptica,Michael Richards,Length: 14 hrs and 45 mins
Portrait of a Portrait,Michael Richards,Length: 14 hrs and 45 mins
In My Time of Dying,Michael Richards,Length: 14 hrs and 45 mins
Alliance,Michael Richards,Length: 14 hrs and 45 mins
Beware of Chicken 4: A Xianxia Cultivation Novel,Michael Richards,Length: 14 hrs and 45 mins
Dungeon Core Guardians 2,Jack Spry,Length: 12 hrs and 9 mins
Loyalty,Jack Spry,Length: 12 hrs and 9 mins
Sheltered,Jack Spry,Length: 12 hrs and 9 mins
Long Time Gone,Jack Spry,Length: 12 hrs and 9 mins
Hunting Justice,Jack Spry,Length: 12 hrs and 9 mins
The Legend of Randidly Ghosthound 7,Jack Spry,Length: 12 hrs and 9 mins
Lies and Weddings,Jack Spry,Length: 12 hrs and 9 mins
Business Is About to Pick Up!,Jack Spry,Length: 12 hrs and 9 mins
The Boyfriend,Jack Spry,Length: 12 hrs and 9 mins
Will Leave the Galaxy for Good,Jack Spry,Length: 12 hrs and 9 mins
What a Fool Believes,Jack Spry,Length: 12 hrs and 9 mins
The Keeper,Jack Spry,Length: 12 hrs and 9 mins
From Pemberley to Gretna Green: A Pride and Prejudice Variation,Jack Spry,Length: 12 hrs and 9 mins
Eruption,Jack Spry,Length: 12 hrs and 9 mins
Once upon a Time,Jack Spry,Length: 12 hrs and 9 mins
Get Honest or Die Lying,Jack Spry,Length: 12 hrs and 9 mins
Isekai Emperor,Jack Spry,Length: 12 hrs and 9 mins
Heavenbreaker,Jack Spry,Length: 12 hrs and 9 mins
The Daymakers,Jack Spry,Length: 12 hrs and 9 mins
Battleborn,Jack Spry,Length: 12 hrs and 9 mins
Habits for a Sacred Home,Jennifer Pepito,Length: 5 hrs and 6 mins
Attachment Styles + Workbook 2-in-1 Bundle,Jennifer Pepito,Length: 5 hrs and 6 mins
"The Complete Tall, Dark and Darcy Collection: A Pride and Prejudice Variation Book Series",Jennifer Pepito,Length: 5 hrs and 6 mins
Monsters Mayhem & Misfits 3,Jennifer Pepito,Length: 5 hrs and 6 mins
"Kennedy Stern Christian Suspense Box Set, Books 1-3",Jennifer Pepito,Length: 5 hrs and 6 mins
I Hope This Finds You Well,Jennifer Pepito,Length: 5 hrs and 6 mins
Rock Chick Rematch: A Rock Chick Novella,Jennifer Pepito,Length: 5 hrs and 6 mins
A Queen This Fierce and Deadly,Jennifer Pepito,Length: 5 hrs and 6 mins
Mind Games,Jennifer Pepito,Length: 5 hrs and 6 mins
Battle with Fire (Dramatized Adaptation),Jennifer Pepito,Length: 5 hrs and 6 mins
Fitzwilliam Darcy: An Honorable Man,Jennifer Pepito,Length: 5 hrs and 6 mins
A Limited Edition Murder,Jennifer Pepito,Length: 5 hrs and 6 mins
Mandate of Heaven,Jennifer Pepito,Length: 5 hrs and 6 mins
House of Sky and Breath (Part 1 of 2) (Dramatized Adaptation),Jennifer Pepito,Length: 5 hrs and 6 mins
Abandoned,Jennifer Pepito,Length: 5 hrs and 6 mins
Onyx Storm,Jennifer Pepito,Length: 5 hrs and 6 mins
Point Blank,Jennifer Pepito,Length: 5 hrs and 6 mins
The Fifth Victim,Jennifer Pepito,Length: 5 hrs and 6 mins
What This Comedian Said Will Shock You,Jennifer Pepito,Length: 5 hrs and 6 mins
A Team of Six,Jennifer Pepito,Length: 5 hrs and 6 mins
Carnivore Diet,Shawn Baker,Length: 7 hrs and 51 mins
Rise,Shawn Baker,Length: 7 hrs and 51 mins
The Copper Valley Fireballs Complete Series,Shawn Baker,Length: 7 hrs and 51 mins
You Like It Darker,Shawn Baker,Length: 7 hrs and 51 mins
The Medicine Woman of Galveston,Shawn Baker,Length: 7 hrs and 51 mins
Swimming Against the Current,Shawn Baker,Length: 7 hrs and 51 mins
In Our Stars,Shawn Baker,Length: 7 hrs and 51 mins
One Perfect Couple,Shawn Baker,Length: 7 hrs and 51 mins
Help! My Mind Is Under Attack,Shawn Baker,Length: 7 hrs and 51 mins
Unloved,Shawn Baker,Length: 7 hrs and 51 mins
To Be Loved,Shawn Baker,Length: 7 hrs and 51 mins
9 Simple Steps to Sell More $h!t,Shawn Baker,Length: 7 hrs and 51 mins
The Way of Ronin,Shawn Baker,Length: 7 hrs and 51 mins
The Cycle of Galand,Shawn Baker,Length: 7 hrs and 51 mins
The Last Murder at the End of the World,Shawn Baker,Length: 7 hrs and 51 mins
Wayward Earth,Shawn Baker,Length: 7 hrs and 51 mins
Millionaire Mission,Shawn Baker,Length: 7 hrs and 51 mins
The Colour of Mystery,Shawn Baker,Length: 7 hrs and 51 mins
"Right Thing, Right Now",Shawn Baker,Length: 7 hrs and 51 mins
Savor It,Shawn Baker,Length: 7 hrs and 51 mins
Burnt Echo,Rhys Dylan,Length: 8 hrs and 49 mins
With Each Tomorrow,Rhys Dylan,Length: 8 hrs and 49 mins
Liar's Point,Rhys Dylan,Length: 8 hrs and 49 mins
