title,author,length
Enchanting Exposition,Alice Winters,Length: 8 hrs and 43 mins
Dangerous Affair,Alice Winters,Length: 8 hrs and 43 mins
The Summer I Destroyed You,Alice Winters,Length: 8 hrs and 43 mins
Dead Serious Case #3: Mr Bruce Reyes,Alice Winters,Length: 8 hrs and 43 mins
The Love You Fight For,Alice Winters,Length: 8 hrs and 43 mins
Sunny in Vegas,Alice Winters,Length: 8 hrs and 43 mins
Drunk on You,Alice Winters,Length: 8 hrs and 43 mins
See No Evil,Alice Winters,Length: 8 hrs and 43 mins
To Catch a Firefly,Alice Winters,Length: 8 hrs and 43 mins
Lost Clause,Alice Winters,Length: 8 hrs and 43 mins
The One for Me,Alice Winters,Length: 8 hrs and 43 mins
Recon,Alice Winters,Length: 8 hrs and 43 mins
The Knight,Alice Winters,Length: 8 hrs and 43 mins
Defiance of the Fall 13,Alice Winters,Length: 8 hrs and 43 mins
Crush (Part 2 of 2) (Dramatized Adaptation),Alice Winters,Length: 8 hrs and 43 mins
Foster,Alice Winters,Length: 8 hrs and 43 mins
Eyes Tight Shut,Alice Winters,Length: 8 hrs and 43 mins
Hell for Hire,Alice Winters,Length: 8 hrs and 43 mins
He Who Fights with Monsters 11: A LitRPG Adventure,Alice Winters,Length: 8 hrs and 43 mins
Imminent,Alice Winters,Length: 8 hrs and 43 mins
